Date,Totalflow
11/16/2015,12864
11/17/2015,12952
11/18/2015,12800
11/19/2015,12645
11/20/2015,13655
11/21/2015,14276
11/22/2015,11233
11/23/2015,13365
11/24/2015,13377
11/25/2015,13008
11/26/2015,13355
11/27/2015,13952
11/28/2015,13531
11/29/2015,11676
11/30/2015,12542
12/1/2015,12275
12/2/2015,13374
12/3/2015,12698
12/4/2015,13351
12/5/2015,13667
12/6/2015,11413
12/7/2015,12723
12/8/2015,12102
12/9/2015,12702
12/10/2015,12936
12/11/2015,11035
12/12/2015,13056
12/13/2015,10594
12/14/2015,12201
12/15/2015,12373
12/16/2015,12444
12/17/2015,12327
12/18/2015,12186
12/19/2015,12374
12/20/2015,8082
12/21/2015,11552
12/22/2015,8752
12/23/2015,5500
12/24/2015,10620
12/25/2015,13032
12/26/2015,12415
12/27/2015,12352
12/28/2015,11980
12/29/2015,10898
12/30/2015,13996
12/31/2015,12571
1/1/2016,11947
1/2/2016,11533
1/3/2016,9601
1/4/2016,10040
1/5/2016,11110
1/6/2016,10665
1/7/2016,4409
1/8/2016,8117
1/9/2016,10230
1/10/2016,9509
1/11/2016,11943
1/12/2016,8740
1/13/2016,7374
1/14/2016,6955
1/15/2016,8746
1/16/2016,9376
1/17/2016,9961
1/18/2016,9694
1/19/2016,9160
1/20/2016,5459
1/21/2016,7343
1/22/2016,8877
1/23/2016,9667
1/24/2016,9463
1/25/2016,10143
1/26/2016,12349
1/27/2016,10022
1/28/2016,11852
1/29/2016,13098
1/30/2016,12531
1/31/2016,11592
2/1/2016,11645
2/2/2016,12666
2/3/2016,11976
2/4/2016,12498
2/5/2016,13142
2/6/2016,9038
2/7/2016,7471
2/8/2016,12363
2/9/2016,13394
2/10/2016,13463
2/11/2016,13446
2/12/2016,14805
2/13/2016,15771
2/14/2016,14317
2/15/2016,13229
2/16/2016,11894
2/17/2016,13636
2/18/2016,13593
2/19/2016,13909
2/20/2016,14300
2/21/2016,12785
2/22/2016,12904
2/23/2016,13058
2/24/2016,13540
2/25/2016,13468
2/26/2016,13521
2/27/2016,14353
2/28/2016,14070
2/29/2016,12526
3/1/2016,13827
3/2/2016,13005
3/3/2016,14237
3/4/2016,14949
3/5/2016,15396
3/6/2016,11873
3/7/2016,13613
3/8/2016,14196
3/9/2016,13822
3/10/2016,14216
3/11/2016,14279
3/12/2016,14779
3/13/2016,12049
3/14/2016,13696
3/15/2016,13909
3/16/2016,14188
3/17/2016,14134
3/18/2016,14802
3/19/2016,14289
3/20/2016,8361
3/21/2016,9230
3/22/2016,10506
3/23/2016,11807
3/24/2016,10537
3/25/2016,14022
3/26/2016,14045
3/27/2016,11515
3/28/2016,10784
3/29/2016,14015
3/30/2016,14372
3/31/2016,13425
4/1/2016,12601
4/2/2016,15993
4/3/2016,18979
4/4/2016,14389
